Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO38,OUT010,-670.0
FDE28,OUT027,5182.0
FDO27,OUT035,1702.0
DRL23,OUT027,3218.0
FDS28,OUT046,982.0
FDX24,OUT013,1536.0
FDZ02,OUT035,1742.0
FDL46,OUT045,1802.0
FDS60,OUT027,4342.0
NCO06,OUT017,608.0
FDO16,OUT035,1526.0
FDC60,OUT049,1558.0
FDA48,OUT018,3174.0
FDZ36,OUT027,4478.0
FDK27,OUT045,1866.0
FDW23,OUT018,358.0
FDM14,OUT018,1482.0
FDM14,OUT013,1776.0
FDW60,OUT018,2570.0
FDE21,OUT013,1904.0
NCM42,OUT035,1870.0
FDY59,OUT010,-390.0
DRI49,OUT049,1406.0
FDT28,OUT019,542.0
FDQ22,OUT018,382.0
FDR60,OUT049,1350.0
FDC50,OUT019,-362.0
FDV24,OUT013,2440.0
DRF48,OUT010,1068.0
FDQ47,OUT046,670.0
DRN36,OUT049,1678.0
NCY06,OUT035,2166.0
FDE52,OUT035,1638.0
NCB54,OUT045,1918.0
NCF31,OUT035,2538.0
FDJ08,OUT027,4494.0
NCC07,OUT017,1760.0
NCD19,OUT027,2354.0
FDL46,OUT049,2022.0
FDM20,OUT045,3814.0
NCI06,OUT010,910.0
DRM11,OUT035,4222.0
NCH07,OUT018,2182.0
FDS23,OUT013,2088.0
FDO49,OUT018,566.0
FDS35,OUT049,1174.0
DRK39,OUT045,1254.0
DRI39,OUT049,1062.0
FDV04,OUT017,2618.0
NCN14,OUT035,2998.0
FDH08,OUT013,3688.0
FDS20,OUT046,2926.0
FDV40,OUT049,1350.0
FDZ48,OUT010,-146.0
FDS24,OUT027,2950.0
FDK44,OUT049,2870.0
FDS48,OUT045,2326.0
FDK26,OUT010,1090.0
FDD23,OUT045,2950.0
NCH54,OUT017,2612.0
NCP14,OUT010,-258.0
FDM60,OUT010,-1210.0
FDV24,OUT017,2486.0
FDH08,OUT018,3326.0
FDS12,OUT027,3518.0
FDR39,OUT027,4358.0
FDP12,OUT027,2158.0
DRF60,OUT027,5218.0
FDC09,OUT035,1842.0
FDF50,OUT018,2838.0
FDG28,OUT035,4034.0
NCE19,OUT017,960.0
NCM53,OUT010,-214.0
NCN18,OUT049,1862.0
FDF32,OUT035,3298.0
FDF11,OUT013,3856.0
DRI59,OUT049,3670.0
NCG54,OUT035,2798.0
FDM44,OUT046,1662.0
FDT57,OUT018,3442.0
FDV24,OUT046,2422.0
FDI50,OUT019,1778.0
FDS09,OUT035,1030.0
NCC31,OUT027,3922.0
FDQ07,OUT019,1626.0
FDC22,OUT017,3146.0
FDZ56,OUT046,2718.0
FDZ40,OUT019,-962.0
FDS46,OUT027,3430.0
DRD24,OUT045,2162.0
FDV45,OUT017,3084.0
FDL26,OUT045,2402.0
FDA56,OUT018,1682.0
FDN27,OUT046,1926.0
FDM20,OUT049,3982.0
FDO16,OUT017,1436.0
FDL03,OUT035,3286.0
FDE58,OUT046,1902.0
FDI02,OUT027,3318.0
NCC55,OUT019,-1238.0
FDR03,OUT018,3006.0
FDB14,OUT017,1610.0
FDR45,OUT013,3840.0
NCN07,OUT017,2132.0
FDM51,OUT019,-174.0
FDT52,OUT027,5398.0
FDL26,OUT046,2478.0
NCZ42,OUT046,3766.0
DRI47,OUT019,462.0
FDW40,OUT013,2312.0
FDN34,OUT046,2750.0
FDS01,OUT035,2986.0
NCG55,OUT045,1754.0
FDC11,OUT035,1550.0
FDX35,OUT018,3314.0
NCB06,OUT046,2534.0
FDR09,OUT019,2230.0
FDC53,OUT017,1658.0
FDY45,OUT013,4064.0
FDA22,OUT010,754.0
FDE02,OUT035,1674.0
FDW21,OUT045,1594.0
FDV34,OUT046,1270.0
FDS59,OUT049,1910.0
NCW17,OUT017,2100.0
NCK54,OUT046,1870.0
FDG17,OUT019,2034.0
FDG35,OUT017,2880.0
FDD08,OUT010,-1266.0
NCO07,OUT017,3396.0
FDJ10,OUT010,366.0
FDW36,OUT017,1758.0
FDW21,OUT010,-238.0
FDY19,OUT017,1980.0
DRE03,OUT013,812.0
NCC55,OUT049,734.0
FDH52,OUT010,-830.0
FDO09,OUT017,4282.0
FDU43,OUT045,3742.0
FDX09,OUT010,858.0
FDH40,OUT019,-486.0
FDW58,OUT017,1774.0
FDC47,OUT017,3662.0
NCR41,OUT035,1642.0
DRG49,OUT035,3994.0
FDC52,OUT027,3958.0
FDY13,OUT046,1246.0
FDY35,OUT013,816.0
FDI35,OUT017,2970.0
NCU18,OUT049,2342.0
FDY33,OUT018,2258.0
FDC15,OUT027,3982.0
FDU01,OUT049,3118.0
NCU42,OUT046,2686.0
NCV29,OUT018,2490.0
NCY30,OUT017,2956.0
FDQ46,OUT049,1910.0
FDG58,OUT027,3974.0
FDK33,OUT017,3466.0
NCD07,OUT045,1742.0
NCX29,OUT027,3746.0
NCT42,OUT013,2356.0
DRN59,OUT035,906.0
FDI44,OUT035,1426.0
FDA45,OUT049,2926.0
FDP31,OUT045,1022.0
FDY01,OUT046,1886.0
FDT09,OUT018,1874.0
DRH03,OUT027,3018.0
FDA36,OUT018,2674.0
NCF31,OUT017,2492.0
FDG14,OUT049,2566.0
FDG28,OUT027,5406.0
FDU14,OUT049,4070.0
FDY47,OUT019,266.0
FDI56,OUT049,1574.0
DRD01,OUT013,988.0
FDM22,OUT046,974.0
FDH33,OUT013,736.0
DRZ24,OUT013,1916.0
NCQ38,OUT046,1694.0
FDO16,OUT027,2870.0
FDU07,OUT027,3870.0
NCB07,OUT013,3068.0
FDU48,OUT045,2038.0
NCM43,OUT045,2518.0
FDR31,OUT010,426.0
DRK49,OUT018,394.0
NCI30,OUT010,1906.0
DRD60,OUT017,2952.0
NCG19,OUT046,3686.0
FDH12,OUT035,1830.0
FDM32,OUT035,1638.0
FDM27,OUT035,2650.0
NCU53,OUT027,4090.0
NCQ18,OUT046,1574.0
FDS10,OUT013,2880.0
FDB33,OUT027,4006.0
FDI12,OUT013,1448.0
NCW42,OUT013,3492.0
NCC06,OUT018,1730.0
FDW02,OUT017,2138.0
NCD43,OUT017,1732.0
FDM57,OUT018,1086.0
FDA58,OUT017,3816.0
FDK56,OUT046,2950.0
FDP52,OUT045,3614.0
FDW20,OUT018,1694.0
FDS52,OUT049,1742.0
NCT29,OUT018,1586.0
NCL54,OUT013,2788.0
FDC05,OUT045,3094.0
FDF34,OUT035,3310.0
FDP03,OUT027,3518.0
FDD32,OUT010,-526.0
FDZ10,OUT045,1966.0
FDZ40,OUT035,1050.0
FDD51,OUT018,430.0
NCY30,OUT019,962.0
FDP58,OUT017,3514.0
FDV49,OUT017,4256.0
FDY24,OUT019,-982.0
NCO55,OUT017,1764.0
FDR13,OUT017,1998.0
FDS51,OUT017,1110.0
FDP26,OUT045,1594.0
NCB54,OUT027,3522.0
FDF32,OUT017,3204.0
FDN31,OUT018,2698.0
DRM48,OUT017,682.0
FDN20,OUT049,2806.0
DRL01,OUT046,3734.0
FDV56,OUT049,1886.0
DRH13,OUT027,3226.0
FDA03,OUT017,2446.0
FDF47,OUT027,5030.0
FDX32,OUT046,2390.0
FDX57,OUT049,1710.0
NCA30,OUT045,2894.0
FDO49,OUT013,896.0
FDL04,OUT019,-186.0
DRM48,OUT035,762.0
FDR16,OUT013,3416.0
NCC19,OUT018,2710.0
NCE42,OUT045,3614.0
FDY24,OUT017,1018.0
FDH19,OUT049,2910.0
FDJ46,OUT013,2784.0
FDN45,OUT010,1614.0
FDY08,OUT035,2394.0
FDZ37,OUT035,1594.0
NCT30,OUT045,674.0
DRY23,OUT018,430.0
NCZ30,OUT018,1622.0
FDC44,OUT018,1502.0
FDB45,OUT035,1838.0
FDY04,OUT013,2664.0
FDM27,OUT046,2574.0
FDZ43,OUT017,3930.0
FDT39,OUT019,586.0
NCC06,OUT019,138.0
FDL15,OUT027,3942.0
FDL57,OUT017,4182.0
FDU08,OUT046,1622.0
FDK40,OUT017,4254.0
FDQ12,OUT010,1710.0
FDS48,OUT017,2498.0
FDP09,OUT045,3286.0
FDW21,OUT049,1758.0
FDY25,OUT035,3026.0
DRE13,OUT017,1466.0
FDV43,OUT019,-1146.0
FDD22,OUT045,1710.0
FDM46,OUT019,-402.0
NCO30,OUT010,990.0
FDM25,OUT046,2822.0
NCN41,OUT049,2054.0
FDU24,OUT045,1454.0
FDZ50,OUT046,2974.0
FDP45,OUT013,4040.0
NCM54,OUT045,1906.0
FDW10,OUT019,918.0
FDP20,OUT017,2132.0
FDK32,OUT046,2470.0
FDN52,OUT049,1558.0
FDM58,OUT045,1746.0
FDZ46,OUT027,3278.0
NCA18,OUT018,1546.0
FDD35,OUT046,1982.0
NCK31,OUT035,942.0
FDI40,OUT027,3134.0
FDT50,OUT019,-270.0
NCT06,OUT046,2614.0
FDT31,OUT035,3134.0
FDT45,OUT049,998.0
FDT13,OUT045,2898.0
FDO50,OUT045,1394.0
NCU18,OUT010,290.0
NCR54,OUT049,3166.0
NCO18,OUT018,2502.0
FDU09,OUT045,890.0
FDT13,OUT018,2682.0
FDE09,OUT046,1830.0
NCK53,OUT019,-262.0
FDG45,OUT049,3486.0
DRH15,OUT035,882.0
FDO21,OUT019,1730.0
FDD14,OUT027,4398.0
FDC09,OUT046,1718.0
FDH45,OUT027,2246.0
FDV32,OUT046,1086.0
FDG12,OUT035,2102.0
FDS32,OUT013,2312.0
NCL55,OUT018,3626.0
DRE01,OUT035,3958.0
DRE15,OUT049,1366.0
NCL42,OUT045,3786.0
FDP31,OUT013,1104.0
FDN33,OUT018,1242.0
FDZ59,OUT046,2670.0
FDE45,OUT010,918.0
FDJ07,OUT013,1936.0
FDQ45,OUT018,2674.0
FDM33,OUT027,4958.0
FDO15,OUT010,-630.0
FDM46,OUT013,1504.0
FDR03,OUT045,3226.0
FDY49,OUT018,2394.0
FDQ60,OUT045,1854.0
FDW10,OUT049,2910.0
FDO51,OUT049,902.0
FDJ40,OUT018,1490.0
FDS20,OUT018,2594.0
FDU45,OUT013,1880.0
FDV02,OUT035,2838.0
FDN09,OUT046,3854.0
NCM55,OUT027,4410.0
FDN23,OUT018,2046.0
FDY31,OUT010,402.0
FDW03,OUT010,-158.0
FDD14,OUT046,2918.0
FDV23,OUT017,2086.0
DRI03,OUT045,2706.0
FDN13,OUT035,1730.0
FDF45,OUT027,2526.0
FDU46,OUT035,1610.0
FDB57,OUT049,3678.0
FDV12,OUT049,1758.0
FDQ58,OUT013,2448.0
NCA18,OUT017,1908.0
FDH52,OUT049,1166.0
FDM24,OUT018,2130.0
NCP43,OUT027,4330.0
NCO18,OUT019,914.0
FDM32,OUT017,1566.0
NCL07,OUT017,700.0
FDK03,OUT013,4056.0
FDP59,OUT017,1770.0
FDQ24,OUT049,4070.0
FDQ16,OUT018,1470.0
FDU44,OUT013,2624.0
FDH28,OUT010,-1238.0
FDV28,OUT019,-1246.0
FDM22,OUT045,858.0
FDR56,OUT046,3158.0
FDV39,OUT049,3246.0
FDU37,OUT019,-534.0
FDQ11,OUT010,2170.0
FDX02,OUT045,3458.0
NCS42,OUT018,1162.0
FDY57,OUT027,3046.0
FDB21,OUT049,3918.0
FDE28,OUT017,3738.0
FDQ55,OUT017,1948.0
FDA48,OUT049,3622.0
FDZ19,OUT045,2686.0
NCC43,OUT045,3862.0
NCV18,OUT046,1310.0
NCA42,OUT018,2202.0
FDY45,OUT046,4078.0
NCC30,OUT045,2730.0
FDM57,OUT013,1448.0
FDL09,OUT010,750.0
FDB09,OUT027,3494.0
FDT44,OUT035,2042.0
NCT06,OUT027,4066.0
FDX26,OUT049,3022.0
FDK32,OUT013,2504.0
DRA12,OUT046,2302.0
FDO46,OUT010,1110.0
FDE52,OUT013,1480.0
NCH42,OUT045,3526.0
FDV08,OUT035,862.0
FDB47,OUT018,3034.0
FDC28,OUT010,-142.0
FDD22,OUT046,1846.0
FDS07,OUT027,3334.0
DRI13,OUT045,3350.0
FDG32,OUT018,3206.0
FDU14,OUT017,4038.0
FDD28,OUT019,-890.0
NCP41,OUT017,1816.0
FDS08,OUT049,2894.0
FDX47,OUT045,2470.0
FDC53,OUT019,-226.0
FDQ19,OUT035,3998.0
FDL14,OUT045,2430.0
FDM33,OUT019,1622.0
FDA51,OUT045,1758.0
FDZ27,OUT018,526.0
FDT04,OUT046,718.0
DRC13,OUT049,2142.0
FDR16,OUT027,4918.0
FDQ03,OUT027,5254.0
FDE38,OUT035,2814.0
DRH23,OUT027,2410.0
FDT11,OUT019,1154.0
FDD09,OUT035,3006.0
FDR40,OUT045,1302.0
FDX07,OUT017,3038.0
FDR07,OUT035,1710.0
FDA51,OUT017,1934.0
FDT59,OUT019,1790.0
FDF20,OUT017,3178.0
FDR13,OUT045,1810.0
FDY26,OUT049,3486.0
FDW04,OUT017,2198.0
FDK52,OUT017,3666.0
FDN60,OUT049,2606.0
FDM09,OUT019,874.0
FDP46,OUT049,1534.0
FDB50,OUT019,-610.0
NCQ29,OUT049,4158.0
FDP16,OUT027,5374.0
FDX33,OUT018,2294.0
FDP07,OUT010,1182.0
FDN22,OUT046,4006.0
FDF39,OUT049,4286.0
FDS21,OUT017,1130.0
NCM42,OUT013,1716.0
FDK50,OUT019,742.0
DRF13,OUT027,3834.0
FDH35,OUT018,2310.0
FDP60,OUT018,1310.0
DRJ49,OUT027,3570.0
NCT42,OUT019,474.0
FDE38,OUT049,2782.0
FDI04,OUT049,3294.0
NCH54,OUT045,2394.0
FDT56,OUT049,1118.0
DRD15,OUT018,3362.0
FDV58,OUT013,3088.0
FDP21,OUT049,3126.0
FDH05,OUT013,3736.0
FDR10,OUT027,4078.0
NCP06,OUT045,2270.0
FDF33,OUT049,1838.0
DRK37,OUT013,3012.0
DRH49,OUT045,1286.0
FDT58,OUT013,2688.0
FDD41,OUT018,1414.0
FDP40,OUT018,1518.0
FDM51,OUT027,3174.0
FDO45,OUT010,-474.0
FDW33,OUT010,-218.0
FDY24,OUT045,846.0
FDB10,OUT010,1830.0
FDM40,OUT035,2390.0
NCI06,OUT017,2920.0
FDW12,OUT019,466.0
FDX48,OUT027,3998.0
NCW05,OUT027,3162.0
FDX27,OUT017,1648.0
DRM37,OUT045,3046.0
FDA38,OUT045,3742.0
FDR36,OUT046,726.0
FDZ45,OUT046,3174.0
FDG05,OUT017,2638.0
FDK28,OUT013,4104.0
FDV47,OUT045,1314.0
FDN21,OUT045,2474.0
FDP20,OUT027,3534.0
FDI35,OUT045,2810.0
DRY23,OUT013,772.0
FDA56,OUT017,2058.0
FDB09,OUT013,2000.0
NCO26,OUT027,3330.0
FDQ49,OUT018,2238.0
FDI52,OUT027,3446.0
FDZ44,OUT027,3382.0
FDZ09,OUT018,2310.0
FDY03,OUT049,1966.0
NCG42,OUT017,2128.0
DRI13,OUT027,4938.0
FDQ32,OUT013,2080.0
FDW16,OUT035,1658.0
FDU27,OUT046,830.0
FDR28,OUT010,718.0
FDQ49,OUT010,642.0
FDS37,OUT046,1894.0
FDW26,OUT018,3218.0
FDX12,OUT018,3554.0
NCP06,OUT013,2396.0
FDW45,OUT010,406.0
NCN30,OUT049,1622.0
FDN24,OUT049,990.0
NCL41,OUT027,2026.0
FDR02,OUT019,-90.0
FDD09,OUT010,966.0
FDS33,OUT010,-482.0
FDU22,OUT045,1834.0
FDI53,OUT013,2640.0
DRH01,OUT049,2894.0
FDX32,OUT013,2336.0
NCP30,OUT018,346.0
FDB60,OUT045,3034.0
FDB14,OUT049,1654.0
NCP02,OUT035,1070.0
FDJ10,OUT017,2348.0
FDG34,OUT046,1838.0
NCB18,OUT017,1472.0
FDM16,OUT049,1366.0
FDW25,OUT018,1074.0
FDB35,OUT010,-406.0
DRN11,OUT013,2284.0
FDF41,OUT019,2030.0
FDH16,OUT045,1354.0
NCQ50,OUT018,3030.0
DRH23,OUT018,618.0
DRJ37,OUT013,2436.0
DRJ24,OUT027,4402.0
FDY16,OUT035,3086.0
FDQ27,OUT045,1654.0
FDZ33,OUT045,2282.0
FDF29,OUT045,2066.0
FDA08,OUT049,2750.0
FDG31,OUT046,1102.0
FDE34,OUT019,1046.0
NCR30,OUT027,2658.0
FDV33,OUT035,4258.0
DRZ24,OUT018,1618.0
NCL54,OUT035,2858.0
FDR12,OUT049,2902.0
NCC54,OUT046,3798.0
DRN59,OUT013,788.0
FDX50,OUT019,-98.0
FDV31,OUT027,4318.0
NCA29,OUT027,4202.0
FDW60,OUT049,2966.0
FDX08,OUT017,2984.0
DRD49,OUT013,3732.0
FDD33,OUT046,3670.0
FDW35,OUT013,752.0
FDJ36,OUT017,1766.0
FDV51,OUT035,2794.0
FDW36,OUT046,1734.0
FDH35,OUT046,2654.0
NCS30,OUT027,3538.0
FDN49,OUT017,762.0
FDL08,OUT018,3586.0
FDI09,OUT013,3848.0
FDP19,OUT018,1754.0
FDU21,OUT010,-1314.0
NCP41,OUT045,1626.0
FDY10,OUT013,1840.0
FDP12,OUT018,366.0
NCN26,OUT049,1950.0
FDK44,OUT013,2792.0
FDC28,OUT049,1870.0
FDJ41,OUT027,5654.0
NCT29,OUT035,2086.0
NCH42,OUT019,1714.0
FDU60,OUT018,2398.0
FDS02,OUT045,3006.0
FDC51,OUT046,2038.0
FDU03,OUT013,2960.0
FDX39,OUT045,3310.0
NCY05,OUT010,-1330.0
NCL06,OUT027,5546.0
FDD32,OUT035,1486.0
NCN41,OUT045,1854.0
NCX53,OUT049,2350.0
FDU57,OUT019,546.0
FDQ23,OUT046,1702.0
FDQ52,OUT045,3842.0
FDC14,OUT045,646.0
FDY09,OUT035,2958.0
FDQ28,OUT045,2450.0
FDV25,OUT046,3518.0
FDJ07,OUT035,2018.0
DRB25,OUT049,1814.0
FDK52,OUT019,1694.0
FDY52,OUT027,2542.0
FDB28,OUT046,3150.0
FDT36,OUT035,754.0
FDV25,OUT017,3598.0
NCN07,OUT027,3546.0
FDC57,OUT017,3186.0
FDQ03,OUT018,3478.0
FDU23,OUT017,2746.0
NCX41,OUT035,3478.0
NCD06,OUT035,886.0
FDW08,OUT045,1626.0
NCU29,OUT017,2364.0
NCE06,OUT013,2548.0
FDV52,OUT010,-10.0
FDB02,OUT017,2930.0
NCR18,OUT045,618.0
FDK16,OUT049,1630.0
NCQ29,OUT010,2110.0
FDZ01,OUT019,-150.0
FDW27,OUT035,2666.0
FDD17,OUT018,3466.0
FDW39,OUT013,2872.0
DRH59,OUT045,1098.0
FDS52,OUT013,1680.0
FDU40,OUT027,4590.0
NCF54,OUT013,2748.0
FDH46,OUT045,1618.0
NCP14,OUT049,1742.0
FDH50,OUT049,3070.0
DRF15,OUT010,524.0
FDV27,OUT027,2950.0
NCJ06,OUT049,2014.0
FDN02,OUT018,2954.0
FDQ51,OUT049,934.0
FDQ07,OUT017,3638.0
FDS45,OUT049,1846.0
NCJ06,OUT045,1834.0
FDD36,OUT035,2034.0
FDY25,OUT045,2826.0
FDU52,OUT046,2494.0
DRK47,OUT017,3660.0
NCL30,OUT017,2104.0
FDN22,OUT035,4142.0
NCF30,OUT027,3458.0
FDK03,OUT035,4222.0
FDT45,OUT017,998.0
NCC54,OUT027,5226.0
FDP08,OUT018,2826.0
FDU44,OUT046,2654.0
DRG39,OUT035,1014.0
FDU32,OUT049,2078.0
FDY27,OUT049,2950.0
NCP54,OUT013,1964.0
NCZ41,OUT049,2110.0
DRL49,OUT013,2308.0
FDI05,OUT018,974.0
FDY56,OUT045,3538.0
DRC13,OUT013,2060.0
NCV29,OUT017,2904.0
FDR24,OUT049,1590.0
FDZ34,OUT018,2734.0
FDP37,OUT035,2154.0
FDX08,OUT027,4374.0
FDS57,OUT045,2174.0
NCG18,OUT049,1742.0
FDK25,OUT018,2406.0
FDH53,OUT049,1478.0
DRI59,OUT018,3218.0
FDA52,OUT046,2862.0
FDT20,OUT010,-1258.0
FDE36,OUT019,762.0
FDI24,OUT017,2854.0
FDB28,OUT018,2850.0
FDV11,OUT017,2926.0
FDP01,OUT046,2518.0
FDD34,OUT027,4078.0
FDJ50,OUT027,2366.0
FDZ44,OUT013,1936.0
DRO59,OUT035,1370.0
DRB48,OUT045,622.0
FDR21,OUT018,2486.0
NCE42,OUT010,1766.0
FDO23,OUT046,1518.0
NCE30,OUT018,3018.0
FDQ22,OUT035,794.0
FDY01,OUT045,1790.0
FDS08,OUT017,2906.0
FDG28,OUT018,3638.0
FDQ51,OUT018,554.0
FDB05,OUT017,4014.0
FDO56,OUT049,2022.0
FDE02,OUT018,1178.0
FDN45,OUT017,3602.0
FDS09,OUT013,880.0
NCA54,OUT018,2546.0
FDP09,OUT010,1458.0
FDC53,OUT045,1530.0
NCM55,OUT017,3004.0
FDL09,OUT018,2414.0
FDA11,OUT019,-354.0
FDA50,OUT045,1446.0
FDC23,OUT017,2930.0
FDE22,OUT049,2646.0
FDD23,OUT046,3022.0
NCA29,OUT049,2830.0
FDK38,OUT046,2366.0
DRC13,OUT046,2006.0
NCP43,OUT049,2934.0
FDX28,OUT049,1710.0
FDF08,OUT049,1606.0
FDZ33,OUT046,2398.0
FDD10,OUT049,2990.0
FDO58,OUT017,2670.0
FDI50,OUT017,3762.0
FDO58,OUT045,2562.0
FDX08,OUT013,2912.0
NCK17,OUT010,-1258.0
FDF39,OUT035,4322.0
FDU45,OUT010,-74.0
NCJ18,OUT018,1530.0
DRC27,OUT019,2014.0
DRC25,OUT035,1518.0
FDU59,OUT035,2694.0
FDU28,OUT035,3182.0
NCP30,OUT046,686.0
FDB39,OUT018,622.0
FDE41,OUT013,1464.0
DRH11,OUT010,-1000.0
FDA58,OUT045,3642.0
FDU50,OUT046,1910.0
FDM34,OUT013,2104.0
FDM44,OUT027,3142.0
FDR39,OUT045,2834.0
FDM25,OUT045,2750.0
FDQ49,OUT049,2646.0
DRH25,OUT018,570.0
FDM09,OUT027,4238.0
FDL44,OUT019,718.0
NCR42,OUT018,230.0
DRL59,OUT046,902.0
FDX43,OUT013,2704.0
DRK47,OUT010,1652.0
FDU48,OUT018,1810.0
FDY12,OUT045,782.0
NCN43,OUT018,1638.0
NCM55,OUT018,2582.0
FDQ21,OUT027,3478.0
FDX13,OUT035,4110.0
NCK30,OUT027,5450.0
FDG20,OUT049,2926.0
DRG27,OUT017,744.0
FDY14,OUT018,3870.0
FDP59,OUT035,1838.0
FDU60,OUT017,2810.0
NCC18,OUT019,794.0
DRJ39,OUT017,3528.0
FDS07,OUT049,1926.0
FDM08,OUT027,5046.0
FDP51,OUT045,1886.0
FDU16,OUT035,1514.0
FDH12,OUT013,1736.0
DRE48,OUT010,1188.0
NCL42,OUT027,5314.0
FDR21,OUT045,2742.0
NCW29,OUT035,2214.0
FDO11,OUT013,4024.0
NCM31,OUT049,2334.0
FDV35,OUT019,590.0
FDF58,OUT017,1108.0
NCE43,OUT049,2766.0
FDA02,OUT035,2482.0
DRL37,OUT010,-1176.0
FDR24,OUT018,1218.0
FDW59,OUT049,1470.0
FDS22,OUT049,910.0
FDW24,OUT017,918.0
FDU24,OUT035,1698.0
FDA21,OUT027,4454.0
FDH58,OUT027,3374.0
FDW36,OUT018,1374.0
FDI45,OUT027,4246.0
FDU01,OUT018,2698.0
FDF35,OUT027,3230.0
FDU43,OUT019,1922.0
FDE24,OUT019,422.0
FDK50,OUT049,2710.0
FDG31,OUT045,966.0
FDC60,OUT045,1410.0
FDL36,OUT013,1488.0
FDP21,OUT013,3080.0
FDW16,OUT045,1430.0
FDX02,OUT017,3636.0
FDQ58,OUT027,3958.0
FDT51,OUT046,1846.0
FDD59,OUT049,1438.0
NCM42,OUT018,1422.0
FDA57,OUT018,390.0
FDZ48,OUT035,1942.0
FDE46,OUT045,2358.0
NCZ30,OUT019,42.0
FDB56,OUT017,3102.0
FDA25,OUT027,3206.0
FDD20,OUT013,2040.0
FDL25,OUT013,1544.0
NCO18,OUT049,2902.0
FDJ45,OUT017,678.0
FDR12,OUT035,2894.0
NCF19,OUT010,-1158.0
FDK25,OUT046,2686.0
NCR17,OUT046,1822.0
FDC52,OUT046,2486.0
NCA54,OUT017,2928.0
FDR45,OUT010,1870.0
NCM19,OUT049,1902.0
FDF39,OUT027,5686.0
FDX23,OUT049,1678.0
FDD58,OUT027,3102.0
FDX28,OUT013,1640.0
NCD31,OUT013,2580.0
FDU57,OUT018,2138.0
FDI27,OUT046,830.0
NCM42,OUT046,1734.0
FDD32,OUT027,2854.0
FDI34,OUT013,3680.0
NCM29,OUT049,2166.0
